run_id,step,schedule_steps,targets,validation_bpb,checkpoint_sha256,role,status
formal-baseline-default-s7506,1200,1200,9830400,2.0758907736724805,274ae3961690efa13c611de1265950028a1288f6bcb328780a998191b9a8a870,initial_baseline_snapshot,completed
formal-baseline-matched-s7506,1200,4800,9830400,1.997824949414094,63cac7f24f5e1846253c6e0a54049fbd757f4d3d1ce00c4f9da4f4abca38bba8,schedule_matched_baseline_snapshot,completed
formal-final-320x8-s7506,1200,4800,9830400,1.7803475420823944,03ee8d1116c353f27b48fdd52dccf617c0554247e6f511d2e3a1463cbf69edfc,same_target_architecture_snapshot,completed
formal-final-320x8-s7506,3000,4800,24576000,1.634623765423197,6ac948e12bc6ffd9eb8582a2167b574ec043081701a45e7c0949311f94772d47,predeclared_final_neural_snapshot,completed
